visitorid,first_activity,last_activity,total_events,unique_items,unique_categories,count_views,count_addtocart,count_transaction,session_duration_seconds,events_per_second,addtocart_ratio,purchase_ratio,view_to_purchase_ratio,anomaly_score,is_abnormal
4270,2015-07-23 08:42:29.139,2015-07-23 08:43:55.043,2,1,1,1,1,0,85.904,0.023281802942819892,1.0,0.0,0.0,-1,1
4284,2015-08-02 00:13:11.091,2015-08-02 00:13:51.101,2,1,1,1,1,0,40.01,0.04998750312421895,1.0,0.0,0.0,-1,1
4348,2015-06-23 18:54:21.602,2015-06-23 18:55:14.126,2,1,1,1,1,0,52.524,0.0380778310867413,1.0,0.0,0.0,-1,1
4419,2015-07-05 01:02:45.308,2015-07-05 01:04:37.078,2,1,1,1,1,0,111.77,0.017893889236825625,1.0,0.0,0.0,-1,1
4525,2015-06-23 00:28:37.372,2015-06-23 00:31:17.416,2,1,1,1,1,0,160.044,0.01249656344505261,1.0,0.0,0.0,-1,1
4537,2015-05-14 01:23:42.959,2015-09-07 01:26:13.013,10,2,2,5,3,2,10022550.054,9.9775006820834e-07,0.6,0.6666666666666666,0.4,-1,1
4606,2015-05-18 17:25:11.200,2015-05-18 18:16:02.416,7,2,2,3,2,2,3051.216,0.0022941673090335134,0.6666666666666666,1.0,0.6666666666666666,-1,1
4682,2015-09-14 03:00:11.278,2015-09-14 03:00:24.226,2,1,1,1,1,0,12.948,0.15446400988569664,1.0,0.0,0.0,-1,1
4688,2015-06-05 04:32:17.143,2015-06-05 04:32:17.631,2,1,1,2,0,0,0.488,4.098360655737705,0.0,0.0,0.0,-1,1
4694,2015-06-16 04:47:35.252,2015-06-16 05:04:44.168,6,3,2,2,2,2,1028.916,0.005831379821093267,1.0,1.0,1.0,-1,1
4739,2015-08-20 14:37:49.681,2015-09-11 00:54:05.781,29,20,3,12,17,0,1851376.1,1.566402418179645e-05,1.4166666666666667,0.0,0.0,-1,1
4847,2015-09-07 07:39:46.845,2015-09-07 07:44:58.194,4,2,2,2,2,0,311.349,0.01284731924624778,1.0,0.0,0.0,-1,1
4866,2015-05-14 06:08:14.124,2015-05-14 06:08:14.260,2,1,1,2,0,0,0.136,14.705882352941176,0.0,0.0,0.0,-1,1
5042,2015-07-12 16:23:12.305,2015-07-12 17:46:39.453,13,5,3,7,3,3,5007.148,0.0025962883461803006,0.42857142857142855,1.0,0.42857142857142855,-1,1
5061,2015-08-03 20:45:14.185,2015-08-03 20:50:46.848,3,1,1,1,1,1,332.663,0.009018135470431036,1.0,1.0,1.0,-1,1
5242,2015-08-18 17:23:42.834,2015-08-18 17:23:42.849,2,1,0,2,0,0,0.015,133.33333333333334,0.0,0.0,0.0,-1,1
5323,2015-08-08 00:25:41.625,2015-08-08 00:25:41.657,2,1,1,2,0,0,0.032,62.5,0.0,0.0,0.0,-1,1
5362,2015-05-25 19:10:38.947,2015-05-25 19:11:08.453,2,1,1,1,1,0,29.506,0.06778282383244086,1.0,0.0,0.0,-1,1
5398,2015-09-11 17:55:50.745,2015-09-11 17:57:50.353,2,1,1,1,1,0,119.608,0.016721289545849775,1.0,0.0,0.0,-1,1
5399,2015-09-12 20:07:58.136,2015-09-12 20:07:58.527,2,1,0,2,0,0,0.391,5.115089514066496,0.0,0.0,0.0,-1,1
5423,2015-08-08 23:08:58.970,2015-08-08 23:14:53.477,3,1,1,1,1,1,354.507,0.008462456312569287,1.0,1.0,1.0,-1,1
5527,2015-08-08 15:49:17.068,2015-08-08 15:49:42.819,2,1,1,1,1,0,25.751,0.0776668867228457,1.0,0.0,0.0,-1,1
5544,2015-08-20 22:08:06.037,2015-08-20 22:08:13.898,2,1,1,1,1,0,7.861,0.25442055718102025,1.0,0.0,0.0,-1,1
5688,2015-07-21 17:18:13.017,2015-07-21 17:18:13.783,2,1,1,2,0,0,0.766,2.6109660574412534,0.0,0.0,0.0,-1,1
5803,2015-08-31 13:57:25.116,2015-08-31 13:58:30.157,2,1,1,1,1,0,65.041,0.030749834719638384,1.0,0.0,0.0,-1,1
5939,2015-09-09 04:46:38.398,2015-09-11 04:19:51.168,4,2,2,2,1,1,171192.77,2.336547273579369e-05,0.5,1.0,0.5,-1,1
5977,2015-06-16 20:09:33.694,2015-06-16 20:10:16.865,2,1,1,1,1,0,43.171,0.04632739570545042,1.0,0.0,0.0,-1,1
6170,2015-07-15 01:33:24.464,2015-07-22 03:31:46.662,141,99,4,115,26,0,611902.198,0.00023042898107059913,0.22608695652173913,0.0,0.0,-1,1
6190,2015-05-09 16:25:09.493,2015-05-09 16:46:47.229,3,1,1,1,1,1,1297.736,0.0023117182539437913,1.0,1.0,1.0,-1,1
6351,2015-05-10 16:37:37.603,2015-05-10 16:37:37.887,2,1,1,2,0,0,0.284,7.042253521126761,0.0,0.0,0.0,-1,1
6431,2015-07-27 16:59:37.259,2015-07-27 17:16:46.226,4,1,1,2,1,1,1028.967,0.0038873938619994612,0.5,1.0,0.5,-1,1
6468,2015-08-06 22:59:50.490,2015-08-17 22:36:17.518,18,6,5,10,4,4,948987.028,1.8967593306238533e-05,0.4,1.0,0.4,-1,1
6618,2015-08-22 20:33:50.779,2015-08-22 20:47:14.513,4,1,1,2,1,1,803.734,0.004976770921722858,0.5,1.0,0.5,-1,1
6664,2015-05-30 10:25:01.521,2015-05-30 10:25:18.389,2,1,1,1,1,0,16.868,0.11856770215793219,1.0,0.0,0.0,-1,1
6699,2015-05-07 21:30:27.547,2015-05-08 03:01:06.009,104,66,23,92,8,4,19838.462,0.0052423418710583515,0.08695652173913043,0.5,0.043478260869565216,-1,1
6855,2015-07-28 07:32:21.140,2015-07-28 18:40:36.958,4,1,1,2,1,1,40095.818,9.976102744680256e-05,0.5,1.0,0.5,-1,1
6911,2015-08-19 19:10:12.729,2015-08-19 19:12:44.837,3,1,1,1,1,1,152.108,0.019722828516580325,1.0,1.0,1.0,-1,1
6952,2015-09-09 16:34:28.021,2015-09-09 17:24:22.110,14,6,3,8,3,3,2994.089,0.004675879708318624,0.375,1.0,0.375,-1,1
6955,2015-07-09 06:00:53.891,2015-07-09 06:20:41.295,3,1,1,1,1,1,1187.404,0.0025265200386726003,1.0,1.0,1.0,-1,1
6958,2015-06-28 21:07:55.076,2015-07-12 21:33:41.356,266,47,7,77,185,4,1211146.28,0.0002196266498874108,2.4025974025974026,0.021621621621621623,0.05194805194805195,-1,1
7016,2015-06-16 06:19:19.612,2015-06-17 00:16:12.160,9,4,3,5,2,2,64612.548,0.00013929182919701603,0.4,1.0,0.4,-1,1
7244,2015-07-02 19:20:54.220,2015-07-02 19:41:02.999,4,2,2,1,2,1,1208.779,0.0033091243312466548,2.0,0.5,1.0,-1,1
7355,2015-07-09 00:03:08.566,2015-07-09 00:04:13.298,2,1,1,1,1,0,64.732,0.03089661990978187,1.0,0.0,0.0,-1,1
7429,2015-06-12 16:08:10.975,2015-06-12 16:09:05.239,2,1,0,1,1,0,54.264,0.03685684800235883,1.0,0.0,0.0,-1,1
7543,2015-06-13 17:19:32.748,2015-06-13 17:19:49.944,2,1,1,1,1,0,17.196,0.1163061177017911,1.0,0.0,0.0,-1,1
7823,2015-08-24 20:52:41.229,2015-08-24 20:52:41.370,2,2,2,2,0,0,0.141,14.184397163120568,0.0,0.0,0.0,-1,1
8036,2015-09-08 21:29:12.855,2015-09-08 21:29:27.354,2,1,1,1,1,0,14.499,0.13794054762397406,1.0,0.0,0.0,-1,1
8043,2015-07-21 23:46:29.406,2015-08-20 21:48:51.263,10,4,3,6,2,2,2584941.857,3.8685589669725405e-06,0.3333333333333333,1.0,0.3333333333333333,-1,1
8284,2015-08-31 22:27:13.856,2015-08-31 22:27:56.786,2,2,1,1,1,0,42.93,0.04658746797111577,1.0,0.0,0.0,-1,1
8411,2015-08-25 01:14:42.075,2015-09-11 23:54:03.715,11,5,2,7,2,2,1550361.64,7.095118787897772e-06,0.2857142857142857,1.0,0.2857142857142857,-1,1
8483,2015-08-07 04:30:25.603,2015-08-07 04:32:37.170,2,2,2,1,1,0,131.567,0.015201380285329908,1.0,0.0,0.0,-1,1
8568,2015-09-14 17:32:07.886,2015-09-14 17:32:08.012,2,2,0,2,0,0,0.126,15.873015873015873,0.0,0.0,0.0,-1,1
8644,2015-08-14 16:58:47.628,2015-08-14 17:24:12.368,21,14,7,15,6,0,1524.74,0.013772839959599669,0.4,0.0,0.0,-1,1
8685,2015-05-04 17:03:20.712,2015-05-04 17:03:21.307,2,1,0,2,0,0,0.595,3.361344537815126,0.0,0.0,0.0,-1,1
8731,2015-06-17 18:41:34.174,2015-06-17 21:09:27.384,9,4,2,5,2,2,8873.21,0.001014289079149485,0.4,1.0,0.4,-1,1
8847,2015-06-15 05:42:35.467,2015-06-15 05:43:07.665,2,1,1,1,1,0,32.198,0.06211565935772408,1.0,0.0,0.0,-1,1
8876,2015-05-06 23:29:59.681,2015-05-06 23:36:47.535,3,1,1,1,1,1,407.854,0.0073555733179029754,1.0,1.0,1.0,-1,1
8930,2015-06-28 04:04:33.518,2015-06-28 04:04:34.833,2,1,1,1,1,0,1.315,1.5209125475285172,1.0,0.0,0.0,-1,1
8960,2015-05-27 15:06:10.876,2015-05-27 15:07:14.430,2,1,1,1,1,0,63.554,0.03146930169619536,1.0,0.0,0.0,-1,1
9079,2015-08-19 02:22:46.443,2015-08-19 03:54:10.747,8,3,1,4,2,2,5484.304,0.0014587083429364967,0.5,1.0,0.5,-1,1
9145,2015-07-28 16:57:03.195,2015-09-10 17:43:49.008,23,8,4,11,9,3,3804405.813,6.0456221366834506e-06,0.8181818181818182,0.3333333333333333,0.2727272727272727,-1,1
9233,2015-09-07 22:06:07.169,2015-09-07 22:07:39.819,2,1,1,1,1,0,92.65,0.021586616297895305,1.0,0.0,0.0,-1,1
9352,2015-08-09 06:47:08.509,2015-08-09 06:47:10.386,2,1,1,1,1,0,1.877,1.0655301012253595,1.0,0.0,0.0,-1,1
9401,2015-06-02 20:09:00.639,2015-06-02 20:09:48.891,2,1,1,1,1,0,48.252,0.04144905910635829,1.0,0.0,0.0,-1,1
9473,2015-08-24 00:39:31.463,2015-08-24 00:39:32.792,2,1,1,1,1,0,1.329,1.5048908954100828,1.0,0.0,0.0,-1,1
9519,2015-07-28 04:09:24.828,2015-07-28 04:25:01.573,3,1,1,1,1,1,936.745,0.0032025791437370896,1.0,1.0,1.0,-1,1
9618,2015-08-24 13:44:56.929,2015-08-24 13:45:17.148,2,1,1,1,1,0,20.219,0.09891686037885157,1.0,0.0,0.0,-1,1
10023,2015-07-25 05:32:30.475,2015-07-25 05:57:12.529,11,6,3,7,2,2,1482.054,0.007422131717197888,0.2857142857142857,1.0,0.2857142857142857,-1,1
10248,2015-07-13 04:46:52.895,2015-07-13 04:54:23.356,3,1,1,1,1,1,450.461,0.0066598440264529005,1.0,1.0,1.0,-1,1
10253,2015-06-26 18:51:05.333,2015-06-26 19:00:09.213,8,6,2,4,4,0,543.88,0.01470912701331176,1.0,0.0,0.0,-1,1
10443,2015-05-18 21:15:36.964,2015-05-18 21:26:05.374,3,1,1,1,1,1,628.41,0.004773953310736621,1.0,1.0,1.0,-1,1
10670,2015-08-01 03:01:02.363,2015-08-01 03:02:49.666,4,2,1,2,2,0,107.303,0.03727761572369832,1.0,0.0,0.0,-1,1
10685,2015-08-07 23:08:52.542,2015-08-07 23:17:33.710,3,1,0,1,1,1,521.168,0.005756301231080957,1.0,1.0,1.0,-1,1
10814,2015-07-19 23:57:13.047,2015-07-19 23:57:14.603,2,1,1,2,0,0,1.556,1.2853470437017995,0.0,0.0,0.0,-1,1
10893,2015-08-19 02:26:15.347,2015-08-19 02:27:37.072,2,1,1,1,1,0,81.725,0.02447231569287244,1.0,0.0,0.0,-1,1
11061,2015-07-18 04:15:40.540,2015-07-18 04:15:59.353,3,1,1,1,2,0,18.813,0.15946420028703556,2.0,0.0,0.0,-1,1
11187,2015-07-04 16:04:13.885,2015-07-04 16:04:38.639,2,1,1,1,1,0,24.754,0.08079502302658156,1.0,0.0,0.0,-1,1
11209,2015-08-12 17:11:12.087,2015-08-12 22:29:45.407,22,7,4,13,5,4,19113.32,0.0011510297530727262,0.38461538461538464,0.8,0.3076923076923077,-1,1
11248,2015-05-26 17:27:24.278,2015-05-26 18:57:46.659,13,4,4,6,4,3,5422.381,0.0023974707789806726,0.6666666666666666,0.75,0.5,-1,1
11287,2015-07-07 23:11:58.939,2015-07-07 23:51:53.783,4,1,1,2,1,1,2394.844,0.00167025493101012,0.5,1.0,0.5,-1,1
11363,2015-09-08 18:11:49.232,2015-09-08 18:13:34.189,2,1,1,1,1,0,104.957,0.019055422696913977,1.0,0.0,0.0,-1,1
11438,2015-09-15 20:47:23.744,2015-09-15 21:18:41.059,4,1,1,2,1,1,1877.315,0.0021307026258246486,0.5,1.0,0.5,-1,1
11473,2015-06-22 13:06:39.886,2015-06-22 13:06:40.295,2,1,1,2,0,0,0.409,4.88997555012225,0.0,0.0,0.0,-1,1
11839,2015-08-03 01:12:11.410,2015-08-03 01:12:48.526,2,1,1,1,1,0,37.116,0.05388511693070374,1.0,0.0,0.0,-1,1
12046,2015-05-23 16:01:03.812,2015-05-27 06:16:46.960,12,2,1,2,9,1,310543.148,3.8641973192079574e-05,4.5,0.1111111111111111,0.5,-1,1
12068,2015-07-17 15:17:55.867,2015-07-17 15:17:57.198,2,1,1,2,0,0,1.331,1.5026296018031555,0.0,0.0,0.0,-1,1
12148,2015-05-28 19:35:45.767,2015-06-02 15:48:03.023,31,18,4,25,3,3,418337.256,7.410289080253469e-05,0.12,1.0,0.12,-1,1
12161,2015-07-04 18:34:49.744,2015-07-04 19:21:05.162,4,3,2,2,2,0,2775.418,0.001441224348908885,1.0,0.0,0.0,-1,1
12292,2015-06-24 04:15:21.753,2015-06-24 04:15:28.184,2,1,1,1,1,0,6.431,0.3109936246306951,1.0,0.0,0.0,-1,1
12295,2015-06-19 20:57:19.270,2015-06-19 21:09:11.501,5,1,1,3,1,1,712.231,0.007020194290897195,0.3333333333333333,1.0,0.3333333333333333,-1,1
12305,2015-05-14 05:31:13.713,2015-05-14 05:31:16.347,2,1,1,1,1,0,2.634,0.7593014426727411,1.0,0.0,0.0,-1,1
12446,2015-05-22 23:35:18.634,2015-05-22 23:35:50.536,2,1,1,1,1,0,31.902,0.06269199423233653,1.0,0.0,0.0,-1,1
12506,2015-06-20 18:27:45.273,2015-07-20 17:19:56.016,7,2,2,3,2,2,2587930.743,2.704863729036817e-06,0.6666666666666666,1.0,0.6666666666666666,-1,1
12523,2015-07-15 04:13:27.251,2015-07-15 04:13:29.517,2,1,1,1,1,0,2.266,0.8826125330979699,1.0,0.0,0.0,-1,1
12579,2015-05-07 15:21:23.570,2015-07-27 03:16:10.079,165,93,19,140,23,2,6954886.509,2.3724326743000202e-05,0.16428571428571428,0.08695652173913043,0.014285714285714285,-1,1
12722,2015-05-14 11:37:39.600,2015-05-14 11:40:30.676,2,1,1,1,1,0,171.076,0.011690710561387922,1.0,0.0,0.0,-1,1
12878,2015-07-27 04:07:22.897,2015-07-27 04:07:23.038,2,1,1,2,0,0,0.141,14.184397163120568,0.0,0.0,0.0,-1,1
13045,2015-07-08 17:38:46.305,2015-07-08 17:39:32.648,2,1,1,1,1,0,46.343,0.043156463759359553,1.0,0.0,0.0,-1,1
13151,2015-06-22 23:49:27.162,2015-06-23 00:23:12.243,10,5,4,4,3,3,2025.081,0.0049380740819749925,0.75,1.0,0.75,-1,1
13240,2015-08-24 13:30:17.531,2015-08-24 13:37:49.660,3,1,1,1,1,1,452.129,0.0066352744460098775,1.0,1.0,1.0,-1,1
13455,2015-06-27 20:33:17.176,2015-06-28 00:57:22.732,19,5,2,13,3,3,15845.556,0.001199074365077502,0.23076923076923078,1.0,0.23076923076923078,-1,1
13702,2015-06-12 18:22:51.381,2015-06-12 18:22:52.618,2,1,0,2,0,0,1.237,1.6168148746968471,0.0,0.0,0.0,-1,1
13787,2015-07-24 22:19:14.930,2015-07-24 22:21:14.679,2,1,1,1,1,0,119.749,0.016701600848441325,1.0,0.0,0.0,-1,1
13792,2015-08-18 15:47:53.036,2015-08-18 15:47:53.978,2,1,1,2,0,0,0.942,2.1231422505307855,0.0,0.0,0.0,-1,1
13833,2015-08-22 17:40:07.273,2015-08-23 00:24:28.403,17,8,8,11,3,3,24261.13,0.0007007093239267915,0.2727272727272727,1.0,0.2727272727272727,-1,1
13884,2015-09-14 21:31:07.252,2015-09-14 21:31:08.698,3,1,1,3,0,0,1.446,2.074688796680498,0.0,0.0,0.0,-1,1
14114,2015-06-27 05:40:16.642,2015-06-27 05:47:37.191,4,3,3,2,2,0,440.549,0.009079580251004997,1.0,0.0,0.0,-1,1
14327,2015-06-20 03:42:34.631,2015-06-20 03:43:19.518,2,2,1,1,1,0,44.887,0.044556330340633145,1.0,0.0,0.0,-1,1
14618,2015-07-21 18:22:47.686,2015-07-21 18:43:40.636,4,2,1,2,1,1,1252.95,0.0031924657807574125,0.5,1.0,0.5,-1,1
14647,2015-07-29 22:38:05.614,2015-07-29 22:39:53.801,2,1,1,1,1,0,108.187,0.018486509469714477,1.0,0.0,0.0,-1,1
14704,2015-07-12 22:58:03.403,2015-07-12 22:59:26.859,2,1,1,1,1,0,83.456,0.02396472392638037,1.0,0.0,0.0,-1,1
14710,2015-07-26 05:06:36.891,2015-07-26 05:08:21.261,2,1,1,1,1,0,104.37,0.01916259461531091,1.0,0.0,0.0,-1,1
14796,2015-08-21 18:40:44.610,2015-08-21 19:16:04.993,5,1,1,2,2,1,2120.383,0.0023580645572049957,1.0,0.5,0.5,-1,1
14802,2015-08-30 21:07:54.400,2015-08-30 21:10:16.802,2,1,1,1,1,0,142.402,0.01404474656254828,1.0,0.0,0.0,-1,1
14864,2015-05-14 20:14:05.988,2015-05-15 12:29:37.718,4,4,1,1,3,0,58531.73,6.833900176878421e-05,3.0,0.0,0.0,-1,1
14903,2015-08-18 17:21:16.071,2015-08-18 17:31:35.565,5,1,1,3,1,1,619.494,0.008071103190668514,0.3333333333333333,1.0,0.3333333333333333,-1,1
14926,2015-09-12 07:05:34.335,2015-09-12 07:06:00.337,2,1,1,1,1,0,26.002,0.07691716021844473,1.0,0.0,0.0,-1,1
15046,2015-08-26 02:06:11.821,2015-08-26 02:10:41.204,4,4,2,2,2,0,269.383,0.014848746951366643,1.0,0.0,0.0,-1,1
15124,2015-08-26 16:04:30.571,2015-08-28 00:53:02.065,7,5,4,3,4,0,118111.494,5.926603553080109e-05,1.3333333333333333,0.0,0.0,-1,1
15147,2015-09-08 17:41:37.341,2015-09-08 17:42:24.642,2,1,1,1,1,0,47.301,0.04228240417750153,1.0,0.0,0.0,-1,1
15190,2015-05-25 18:20:09.716,2015-05-25 18:20:16.877,2,1,1,1,1,0,7.161,0.27929060187124705,1.0,0.0,0.0,-1,1
15239,2015-06-02 06:21:18.654,2015-07-17 19:17:31.046,37,19,9,28,9,0,3934572.392,9.403817318301357e-06,0.32142857142857145,0.0,0.0,-1,1
15318,2015-07-27 20:55:06.367,2015-07-27 20:58:25.681,3,1,1,1,1,1,199.314,0.015051627080887444,1.0,1.0,1.0,-1,1
15460,2015-08-03 20:34:34.640,2015-08-03 20:35:34.775,2,2,1,1,1,0,60.135,0.03325850170449821,1.0,0.0,0.0,-1,1
15653,2015-05-16 19:40:55.783,2015-09-02 15:52:39.233,19,9,6,15,2,2,9403903.45,2.020437587542437e-06,0.13333333333333333,1.0,0.13333333333333333,-1,1
15677,2015-08-25 20:24:44.482,2015-08-25 20:24:50.612,2,1,1,1,1,0,6.13,0.3262642740619902,1.0,0.0,0.0,-1,1
15852,2015-08-05 07:58:34.050,2015-08-05 08:07:50.496,3,1,1,1,1,1,556.446,0.005391358730227192,1.0,1.0,1.0,-1,1
15972,2015-06-27 23:48:27.215,2015-06-27 23:48:27.685,2,1,1,2,0,0,0.47,4.25531914893617,0.0,0.0,0.0,-1,1
16215,2015-05-19 22:59:31.500,2015-05-21 21:04:51.468,6,4,4,3,3,0,165919.968,3.616201276027247e-05,1.0,0.0,0.0,-1,1
16424,2015-08-12 15:43:18.016,2015-08-12 16:14:12.555,24,16,7,17,7,0,1854.539,0.012941221511114083,0.4117647058823529,0.0,0.0,-1,1
16506,2015-09-13 05:25:52.497,2015-09-13 05:27:39.952,5,3,1,2,3,0,107.455,0.046531106044390674,1.5,0.0,0.0,-1,1
16655,2015-07-14 15:52:47.377,2015-07-14 17:37:08.804,11,6,4,7,2,2,6261.427,0.0017567880293102515,0.2857142857142857,1.0,0.2857142857142857,-1,1
16722,2015-09-03 22:29:16.783,2015-09-03 22:29:37.367,2,1,1,1,1,0,20.584,0.0971628449280995,1.0,0.0,0.0,-1,1
16766,2015-07-25 18:58:51.117,2015-07-25 19:05:56.018,3,1,1,1,1,1,424.901,0.007060468203181447,1.0,1.0,1.0,-1,1
16769,2015-07-27 16:44:11.657,2015-07-27 16:45:19.388,2,1,1,1,1,0,67.731,0.029528576279694678,1.0,0.0,0.0,-1,1
16894,2015-08-20 19:42:52.712,2015-08-20 19:42:53.128,2,1,1,2,0,0,0.416,4.8076923076923075,0.0,0.0,0.0,-1,1
16945,2015-06-20 21:10:28.617,2015-06-20 21:19:09.993,3,1,1,1,1,1,521.376,0.0057540047873319835,1.0,1.0,1.0,-1,1
16975,2015-06-26 14:37:35.446,2015-06-26 14:41:54.878,3,1,1,1,1,1,259.432,0.011563723827438404,1.0,1.0,1.0,-1,1
17029,2015-07-07 03:27:49.685,2015-07-07 03:27:49.701,2,1,0,2,0,0,0.016,125.0,0.0,0.0,0.0,-1,1
17082,2015-05-31 17:49:01.971,2015-05-31 17:49:33.238,2,1,1,1,1,0,31.267,0.0639652029296063,1.0,0.0,0.0,-1,1
